Origen,Destino,Aerolinea,ruta,n_train
DOZ,SDE,AEROLINEAS ARGENTINAS SA,DOZ|SDE|AEROLINEAS ARGENTINAS SA,1
DOZ,TUC,AEROLINEAS ARGENTINAS SA,DOZ|TUC|AEROLINEAS ARGENTINAS SA,97
DOZ,UIS,AEROLINEAS ARGENTINAS SA,DOZ|UIS|AEROLINEAS ARGENTINAS SA,1
DRY,AER,AEROLINEAS ARGENTINAS SA,DRY|AER|AEROLINEAS ARGENTINAS SA,312
DRY,AER,FB LÍNEAS AÉREAS - FLYBONDI,DRY|AER|FB LÍNEAS AÉREAS - FLYBONDI,212
DRY,EZE,AEROLINEAS ARGENTINAS SA,DRY|EZE|AEROLINEAS ARGENTINAS SA,48
DRY,EZE,FB LÍNEAS AÉREAS - FLYBONDI,DRY|EZE|FB LÍNEAS AÉREAS - FLYBONDI,23
ECA,AER,AEROLINEAS ARGENTINAS SA,ECA|AER|AEROLINEAS ARGENTINAS SA,1837
ECA,AER,FB LÍNEAS AÉREAS - FLYBONDI,ECA|AER|FB LÍNEAS AÉREAS - FLYBONDI,222
ECA,AER,JETSMART AIRLINES S.A.,ECA|AER|JETSMART AIRLINES S.A.,318
ECA,CBA,AEROLINEAS ARGENTINAS SA,ECA|CBA|AEROLINEAS ARGENTINAS SA,190
ECA,EZE,AEROLINEAS ARGENTINAS SA,ECA|EZE|AEROLINEAS ARGENTINAS SA,495
ECA,EZE,FB LÍNEAS AÉREAS - FLYBONDI,ECA|EZE|FB LÍNEAS AÉREAS - FLYBONDI,100
ECA,EZE,JETSMART AIRLINES S.A.,ECA|EZE|JETSMART AIRLINES S.A.,40
ECA,IGU,AEROLINEAS ARGENTINAS SA,ECA|IGU|AEROLINEAS ARGENTINAS SA,1
ECA,ROS,AEROLINEAS ARGENTINAS SA,ECA|ROS|AEROLINEAS ARGENTINAS SA,44
ECA,TRE,AEROLINEAS ARGENTINAS SA,ECA|TRE|AEROLINEAS ARGENTINAS SA,3
ECA,USU,AEROLINEAS ARGENTINAS SA,ECA|USU|AEROLINEAS ARGENTINAS SA,586
ECA,USU,FB LÍNEAS AÉREAS - FLYBONDI,ECA|USU|FB LÍNEAS AÉREAS - FLYBONDI,134
ECA,USU,JETSMART AIRLINES S.A.,ECA|USU|JETSMART AIRLINES S.A.,2
ESQ,AER,AEROLINEAS ARGENTINAS SA,ESQ|AER|AEROLINEAS ARGENTINAS SA,915
ESQ,BAR,AEROLINEAS ARGENTINAS SA,ESQ|BAR|AEROLINEAS ARGENTINAS SA,1
ESQ,CBA,AEROLINEAS ARGENTINAS SA,ESQ|CBA|AEROLINEAS ARGENTINAS SA,7
EZE,AER,AEROLINEAS ARGENTINAS SA,EZE|AER|AEROLINEAS ARGENTINAS SA,2
EZE,AER,JETSMART AIRLINES S.A.,EZE|AER|JETSMART AIRLINES S.A.,1
EZE,BAR,AEROLINEAS ARGENTINAS SA,EZE|BAR|AEROLINEAS ARGENTINAS SA,2325
EZE,BAR,FB LÍNEAS AÉREAS - FLYBONDI,EZE|BAR|FB LÍNEAS AÉREAS - FLYBONDI,900
EZE,BAR,JETSMART AIRLINES S.A.,EZE|BAR|JETSMART AIRLINES S.A.,965
EZE,CAT,AEROLINEAS ARGENTINAS SA,EZE|CAT|AEROLINEAS ARGENTINAS SA,20
EZE,CBA,AEROLINEAS ARGENTINAS SA,EZE|CBA|AEROLINEAS ARGENTINAS SA,1538
EZE,CBA,FB LÍNEAS AÉREAS - FLYBONDI,EZE|CBA|FB LÍNEAS AÉREAS - FLYBONDI,62
EZE,CBA,JETSMART AIRLINES S.A.,EZE|CBA|JETSMART AIRLINES S.A.,44
EZE,CHP,JETSMART AIRLINES S.A.,EZE|CHP|JETSMART AIRLINES S.A.,4
EZE,CRR,AEROLINEAS ARGENTINAS SA,EZE|CRR|AEROLINEAS ARGENTINAS SA,53
EZE,CRR,FB LÍNEAS AÉREAS - FLYBONDI,EZE|CRR|FB LÍNEAS AÉREAS - FLYBONDI,6
EZE,CRR,JETSMART AIRLINES S.A.,EZE|CRR|JETSMART AIRLINES S.A.,4
EZE,CRV,FB LÍNEAS AÉREAS - FLYBONDI,EZE|CRV|FB LÍNEAS AÉREAS - FLYBONDI,104
EZE,CRV,JETSMART AIRLINES S.A.,EZE|CRV|JETSMART AIRLINES S.A.,14
EZE,DOZ,AEROLINEAS ARGENTINAS SA,EZE|DOZ|AEROLINEAS ARGENTINAS SA,2045
EZE,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,EZE|DOZ|FB LÍNEAS AÉREAS - FLYBONDI,129
EZE,DOZ,JETSMART AIRLINES S.A.,EZE|DOZ|JETSMART AIRLINES S.A.,114
EZE,DRY,AEROLINEAS ARGENTINAS SA,EZE|DRY|AEROLINEAS ARGENTINAS SA,55
EZE,DRY,FB LÍNEAS AÉREAS - FLYBONDI,EZE|DRY|FB LÍNEAS AÉREAS - FLYBONDI,21
EZE,ECA,AEROLINEAS ARGENTINAS SA,EZE|ECA|AEROLINEAS ARGENTINAS SA,924
EZE,ECA,FB LÍNEAS AÉREAS - FLYBONDI,EZE|ECA|FB LÍNEAS AÉREAS - FLYBONDI,294
EZE,ECA,JETSMART AIRLINES S.A.,EZE|ECA|JETSMART AIRLINES S.A.,215
EZE,ESQ,AEROLINEAS ARGENTINAS SA,EZE|ESQ|AEROLINEAS ARGENTINAS SA,175
EZE,EZE,AEROLINEAS ARGENTINAS SA,EZE|EZE|AEROLINEAS ARGENTINAS SA,9
EZE,FSA,AEROLINEAS ARGENTINAS SA,EZE|FSA|AEROLINEAS ARGENTINAS SA,18
EZE,GAL,AEROLINEAS ARGENTINAS SA,EZE|GAL|AEROLINEAS ARGENTINAS SA,193
EZE,GAL,FB LÍNEAS AÉREAS - FLYBONDI,EZE|GAL|FB LÍNEAS AÉREAS - FLYBONDI,35
EZE,GRA,AEROLINEAS ARGENTINAS SA,EZE|GRA|AEROLINEAS ARGENTINAS SA,302
EZE,IGU,AEROLINEAS ARGENTINAS SA,EZE|IGU|AEROLINEAS ARGENTINAS SA,1586
EZE,IGU,FB LÍNEAS AÉREAS - FLYBONDI,EZE|IGU|FB LÍNEAS AÉREAS - FLYBONDI,557
EZE,IGU,JETSMART AIRLINES S.A.,EZE|IGU|JETSMART AIRLINES S.A.,480
EZE,JUA,AEROLINEAS ARGENTINAS SA,EZE|JUA|AEROLINEAS ARGENTINAS SA,345
EZE,JUJ,AEROLINEAS ARGENTINAS SA,EZE|JUJ|AEROLINEAS ARGENTINAS SA,506
EZE,JUJ,FB LÍNEAS AÉREAS - FLYBONDI,EZE|JUJ|FB LÍNEAS AÉREAS - FLYBONDI,351
EZE,JUJ,JETSMART AIRLINES S.A.,EZE|JUJ|JETSMART AIRLINES S.A.,31
EZE,LAR,AEROLINEAS ARGENTINAS SA,EZE|LAR|AEROLINEAS ARGENTINAS SA,5
EZE,MDP,AEROLINEAS ARGENTINAS SA,EZE|MDP|AEROLINEAS ARGENTINAS SA,98
EZE,NEU,AEROLINEAS ARGENTINAS SA,EZE|NEU|AEROLINEAS ARGENTINAS SA,425
EZE,NEU,FB LÍNEAS AÉREAS - FLYBONDI,EZE|NEU|FB LÍNEAS AÉREAS - FLYBONDI,52
EZE,NEU,JETSMART AIRLINES S.A.,EZE|NEU|JETSMART AIRLINES S.A.,117
EZE,OSA,AEROLINEAS ARGENTINAS SA,EZE|OSA|AEROLINEAS ARGENTINAS SA,7
EZE,PAR,AEROLINEAS ARGENTINAS SA,EZE|PAR|AEROLINEAS ARGENTINAS SA,16
EZE,POS,AEROLINEAS ARGENTINAS SA,EZE|POS|AEROLINEAS ARGENTINAS SA,218
EZE,POS,FB LÍNEAS AÉREAS - FLYBONDI,EZE|POS|FB LÍNEAS AÉREAS - FLYBONDI,25
EZE,POS,JETSMART AIRLINES S.A.,EZE|POS|JETSMART AIRLINES S.A.,1
